,Village,Block,District
0,Agartoli,Angara,Ranchi
1,Angara,Angara,Ranchi
2,Asri,Angara,Ranchi
3,Badri,Angara,Ranchi
4,Baheya,Angara,Ranchi
5,Bakshidih,Angara,Ranchi
6,Banpur,Angara,Ranchi
7,Barkigorang,Angara,Ranchi
8,Barwadag,Angara,Ranchi
9,Benadag,Angara,Ranchi
10,Berwari,Angara,Ranchi
11,Beti(Benti),Angara,Ranchi
12,Bisa,Angara,Ranchi
13,Bongaibera,Angara,Ranchi
14,Buki,Angara,Ranchi
15,Burhibera,Angara,Ranchi
16,Chaldag,Angara,Ranchi
17,Chatra,Angara,Ranchi
18,Cheldagsoso,Angara,Ranchi
19,Dahua,Angara,Ranchi
20,Dhurleta,Angara,Ranchi
21,Dimra,Angara,Ranchi
22,Dokad,Angara,Ranchi
23,Dumargarhi,Angara,Ranchi
24,Getalsud,Angara,Ranchi
25,Guridih,Angara,Ranchi
26,Gutidih,Angara,Ranchi
27,Hahe,Angara,Ranchi
28,Hapatbera,Angara,Ranchi
29,Haratu,Angara,Ranchi
30,Hesal,Angara,Ranchi
31,Hesatu,Angara,Ranchi
32,Heslabera,Angara,Ranchi
33,Hundru,Angara,Ranchi
34,Id,Angara,Ranchi
35,Ikarhatu,Angara,Ranchi
36,Jamuari,Angara,Ranchi
37,Janum,Angara,Ranchi
38,Jaradih,Angara,Ranchi
39,Jaratoli,Angara,Ranchi
40,Jarga,Angara,Ranchi
41,Jaspur,Angara,Ranchi
42,Jidu,Angara,Ranchi
43,Jonha,Angara,Ranchi
44,Kamta,Angara,Ranchi
45,Kashidih,Angara,Ranchi
46,Koynardih,Angara,Ranchi
47,Kuchu,Angara,Ranchi
48,Ladhuptola,Angara,Ranchi
49,Lalgarh,Angara,Ranchi
50,Lepsar,Angara,Ranchi
51,Lupung,Angara,Ranchi
52,Maheshpur,Angara,Ranchi
53,Malghonghsa,Angara,Ranchi
54,Masniya,Angara,Ranchi
55,Masu,Angara,Ranchi
56,Merha,Angara,Ranchi
57,Mungadih,Angara,Ranchi
58,Musangu,Angara,Ranchi
59,Narayansoso,Angara,Ranchi
60,Nawadih,Angara,Ranchi
61,Nawagarh,Angara,Ranchi
62,Obar(Ober),Angara,Ranchi
63,Orwabera,Angara,Ranchi
64,Pahar Singh,Angara,Ranchi
65,Paika,Angara,Ranchi
66,Pailada Or Nagraberadegadegi,Angara,Ranchi
67,Pertol,Angara,Ranchi
68,Rajadera,Angara,Ranchi
69,Rangamati,Angara,Ranchi
70,Resham,Angara,Ranchi
71,Rupru,Angara,Ranchi
72,Saheda,Angara,Ranchi
73,Salhan,Angara,Ranchi
74,Sarugori,Angara,Ranchi
75,Simaliya,Angara,Ranchi
76,Singari,Angara,Ranchi
77,Sirka,Angara,Ranchi
78,Sitadih,Angara,Ranchi
79,Soso,Angara,Ranchi
80,Sursu,Angara,Ranchi
81,Tati,Angara,Ranchi
82,Turup,Angara,Ranchi
83,Asro,Bero,Ranchi
84,Baid Khijri,Bero,Ranchi
85,Balirampur,Bero,Ranchi
86,Banri,Bero,Ranchi
87,Baridih,Bero,Ranchi
88,Bero,Bero,Ranchi
89,Bhainsadon,Bero,Ranchi
90,Bhasnanda,Bero,Ranchi
91,Bilti,Bero,Ranchi
92,Boda,Bero,Ranchi
93,Chachkapi,Bero,Ranchi
94,Chachkapi,Bero,Ranchi
95,Changani,Bero,Ranchi
96,Chanho,Bero,Ranchi
97,Chankapi,Bero,Ranchi
98,Chapadih,Bero,Ranchi
99,Charma,Bero,Ranchi
100,Childiri,Bero,Ranchi
101,Darsita,Bero,Ranchi
102,Dighiya,Bero,Ranchi
103,Donrkanrriya,Bero,Ranchi
104,Doranda,Bero,Ranchi
105,Dumardon,Bero,Ranchi
106,Dumri,Bero,Ranchi
107,Duru,Bero,Ranchi
108,Garri,Bero,Ranchi
109,Ghaghra,Bero,Ranchi
110,Harhanji,Bero,Ranchi
111,Hariharpur Jamtoli,Bero,Ranchi
112,Hathu,Bero,Ranchi
113,Hulsi,Bero,Ranchi
114,Hutar,Bero,Ranchi
115,Hutri,Bero,Ranchi
116,Irri,Bero,Ranchi
117,Ita,Bero,Ranchi
118,Ita,Bero,Ranchi
119,Jahanabaj,Bero,Ranchi
120,Jamuni,Bero,Ranchi
121,Jariya,Bero,Ranchi
122,Kadojora,Bero,Ranchi
123,Kairo,Bero,Ranchi
124,Karanji,Bero,Ranchi
125,Karge,Bero,Ranchi
126,Karkari,Bero,Ranchi
127,Katarmali,Bero,Ranchi
128,Kerabhita,Bero,Ranchi
129,Kesa,Bero,Ranchi
130,Khanrdiuri,Bero,Ranchi
131,Khatanga,Bero,Ranchi
132,Khirda,Bero,Ranchi
133,Khukhra,Bero,Ranchi
134,Konkre,Bero,Ranchi
135,Kotpali,Bero,Ranchi
136,Kudarko,Bero,Ranchi
137,Lamkara,Bero,Ranchi
138,Madhupur,Bero,Ranchi
139,Mahru,Bero,Ranchi
140,Mahugaon,Bero,Ranchi
141,Makunda,Bero,Ranchi
142,Masiatu,Bero,Ranchi
143,Masu,Bero,Ranchi
144,Muramu,Bero,Ranchi
145,Murto,Bero,Ranchi
146,Nagri,Bero,Ranchi
147,Nari,Bero,Ranchi
148,Narkopi,Bero,Ranchi
149,Nehalukapariya,Bero,Ranchi
150,Paharkanrriya,Bero,Ranchi
151,Pandra,Bero,Ranchi
152,Puriya,Bero,Ranchi
153,Roghadihpatratoli,Bero,Ranchi
154,Rogo,Bero,Ranchi
155,Rora Alias Garhatoli,Bero,Ranchi
156,Semra,Bero,Ranchi
157,Sero,Bero,Ranchi
158,Sijhuwa,Bero,Ranchi
159,Singarsarai,Bero,Ranchi
160,Suartoli,Bero,Ranchi
161,Tengriya,Bero,Ranchi
162,Tengriya,Bero,Ranchi
163,Tero,Bero,Ranchi
164,Tikratoli,Bero,Ranchi
165,Tuko,Bero,Ranchi
166,Tutlo,Bero,Ranchi
167,Alna,Bundu,Ranchi
168,Amjora,Bundu,Ranchi
169,Anredih,Bundu,Ranchi
170,Arradih,Bundu,Ranchi
171,Baghadih,Bundu,Ranchi
